,XGC
0,2.860427977573584
1,3.5919177934319175
2,2.4627045179652356
3,0.9883878382779212
4,0.8169813088764035
5,2.542446763007789
6,0.7149828612153257
7,2.2981576705393536
8,2.7436431558309726
9,2.2031384158997858
10,0.7429140183599574
11,2.980093566594795
12,0.5845233064767434
13,2.3685249313796617
14,1.7428844674833792
15,1.7086294035030936
16,3.0014433372243285
17,1.3147979503741833
18,1.3876938200354854
19,3.2773083392842364
20,0.828932187015113
21,1.6717003660923393
22,2.5354774980620753
23,2.769494654029247
24,0.8241143613459886
25,2.0670349430862953
26,0.9572947510084956
27,3.508580147719395
28,0.9634309136189397
29,2.2029561196188037
30,3.3387616105878983
31,1.6379605107005089
32,2.0050701341637254
33,2.4597509253964605
34,2.207067325938144
35,2.0884271733465685
36,1.6273732514488286
37,4.753580143801042
38,2.983593295841522
39,1.9688454639754387
40,2.387714872897774
41,3.9680348851387737
42,0.8178882659852814
43,2.9086371867028245
44,1.3569024155915375
45,1.4345508593376337
46,2.7004358751565625
47,1.58425694307795
48,0.2954328314997105
49,1.5069174391241025
50,1.8438498212718084
51,2.3531440839704176
52,0.7678754836941033
53,7.165770628641572
54,1.5103668084972568
55,1.539961217368325
56,1.1497446910839295
57,3.3877799264287396
58,1.3957534945665429
59,1.868157898140675
60,1.9439644712018445
61,1.4663991341567517
62,3.050665984894566
63,3.063712592046287
64,1.0832854917904287
65,4.686679616252135
66,1.3719434591990662
67,2.421063127210447
68,3.6646411337899587
69,3.1635067399126644
70,0.4454117203693235
71,2.197716195181677
72,2.140976538651982
73,1.4171233132487868
74,1.9640348548723399
75,1.4387876647335536
76,2.156252038325801
77,1.9375269057572282
78,1.977772799895902
79,1.7396034134829605
80,0.566227202442076
81,1.5857325777594495
82,1.1002605298857293
83,3.2376869463849305
84,1.5567461714830335
85,1.6010691016907108
86,0.444668003268657
87,4.590409035995405
88,0.9018619454811779
89,1.8212830125922284
90,1.3257047015643244
91,0.8304340668833208
92,4.854232194281595
93,3.8440285605259796
94,1.8703977368168334
95,1.3362071761909822
96,1.3697921113026983
97,1.3383728012227682
98,2.291771171834899
99,2.112832513002598
100,2.7245028513896155
101,3.392441026038299
102,0.6468056211408711
103,1.226368869143447
104,0.2692791071079974
105,2.722321499117678
106,3.62357274640831
107,1.0556942017524586
108,1.5918825267743841
109,3.6432396478972193
110,1.794829080126971
111,1.891737734864314
112,1.8846613984611704
113,0.8066943990378787
114,0.9957230652272122
115,1.213932812301651
116,1.5661376273226169
117,1.2879234500355825
118,2.1711465215180628
119,0.9197777037822881
120,2.611136685286737
121,2.953241108391928
122,1.5050584999015004
123,2.06654335932304
124,2.5858107033094866
125,2.3519555109890686
126,1.7377112610333016
127,4.201979370915159
128,2.0491946160691095
129,4.571842736774827
130,2.1964517462540885
131,1.6760328031302205
132,5.221206206096382
133,1.5456291059475915
134,7.36789122229196
135,1.1717851973161162
136,1.497349563875201
137,1.0304483133859343
138,1.8646531842636989
139,2.2537680519451624
140,3.215835154745946
141,2.0605982335383857
142,2.9716213547795496
143,0.9226054272851183
144,1.2944783592844908
145,2.989660490921315
146,0.5797306583895447
147,3.833992692861455
148,2.244887268805738
149,0.9459597894826739
150,0.6658709582992316
151,1.1361679650843015
152,0.8735320686540199
153,4.294825180780852
154,0.4860197883276952
155,2.784166129155749
156,4.008314052432531
157,2.0417175132813576
158,2.775595615498306
159,3.1524750103586054
160,0.9665672315140835
161,3.5462079789997176
162,0.2257521599510666
163,2.818217132900034
164,1.2054441331607135
165,2.3809161366403186
166,2.2478109701364404
167,1.8589287155049852
168,1.4866730197255786
169,4.672602783381528
170,2.1099303808818597
171,4.169958450499738
172,1.5856598010973197
173,1.5632476995211901
174,2.7567786164078827
175,0.9360636077625144
176,1.657410932681945
177,1.8648488655072941
178,1.035721172247745
179,2.950683341901039
180,3.2094213534000007
181,3.101272801359427
182,1.4295490454899917
183,4.311403651985901
184,2.951953648284343
185,1.1243193903044644
186,3.8844149882812813
187,0.7604776745835329
188,2.7182342426304045
189,1.8675108389768966
190,2.3528256592874763
191,1.782396158989594
192,1.4713554940439382
193,1.319258108433155
194,2.558770512741355
195,2.320578978395475
196,3.054255270092562
197,1.699386194869832
198,2.284949802607446
199,1.7790537746732245
200,1.1101397665548383
201,2.0275160628444375
202,1.6001451306586978
203,2.78820581013384
204,1.342933743926153
205,3.262705714680371
206,1.9839636707039416
207,3.2479032789132956
208,1.6741585531761023
209,2.4361651307126855
210,4.094124791408609
211,0.7416175573493804
212,3.8271405807171996
213,2.3888194245525796
214,0.8420604138018752
215,2.987985673363387
216,3.1188385812848223
217,2.7799904892725764
218,1.532240913985604
219,1.5647283332864343
220,3.3789176037542155
221,1.5790563036187535
222,3.2381150398619525
223,0.7619526172449511
224,0.4050736462192411
225,3.059984501535592
226,1.5639455247586525
227,2.5233239839807227
228,0.973268481632706
229,2.078686169794858
230,1.0087869659121016
231,3.516617973015766
232,1.7868688320927957
233,3.338210646118963
234,1.1552578868122838
235,0.7114298785666677
236,1.7835757883349435
237,2.3766922580732945
238,1.055984387232258
239,2.635184597320091
240,6.035729381710798
241,1.25611054673912
242,3.778272810151609
243,0.33451274309877554
244,2.7456809896393914
245,2.072277605625523
246,2.270987533592489
247,3.2567566905203416
248,2.7224566259018
249,3.7713767803976403
250,2.3911765451362235
251,1.782283328105457
252,1.233581573734519
253,1.712219333684706
254,0.8630441238199859
255,3.019730321986987
256,0.3208440553227444
257,1.7390951153667655
258,1.95330810634281
259,1.3637251418019947
260,2.2892884439896277
261,0.4210264470185675
262,0.6290055108104885
263,1.9454297130816043
264,2.02230607851666
265,3.1707595280604512
266,3.3760530962921944
267,1.3958170422178566
268,1.8558712628312444
269,2.3858259699669864
270,1.0787542258399077
271,3.1653216833806956
272,0.7242718711212907
273,2.3229634265440504
274,1.0944343437847566
