,XG,XA,XGI,XG90,XA90,XGI90
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.018564356435643563,0.7739807922711345,0.7925451487067781,0.018564356435643563,0.7739807922711345,0.792545148706778
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4605864054537031,0.42610364683301344,0.8866900522867165,0.4605864054537031,0.42610364683301344,0.8866900522867165
4,0.8900459796714769,0.211864406779661,1.101910386451138,0.8900459796714769,0.211864406779661,1.101910386451138
5,0.7092260735400594,0.10256410256410256,0.8117901761041619,0.7092260735400594,0.10256410256410256,0.8117901761041619
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.12195121951219512,0.42610364683301344,0.5480548663452085,0.18292682926829268,0.6391554702495201,0.8220822995178128
10,0.2432484269074439,0.0,0.2432484269074439,0.2432484269074439,0.0,0.2432484269074439
11,0.9607413709796013,0.19954684792749566,1.1602882189070969,0.9607413709796014,0.19954684792749566,1.1602882189070969
12,0.986432093829135,0.17932148626817448,1.1657535800973096,0.9864320938291351,0.17932148626817448,1.1657535800973096
13,0.0,0.22611464968152867,0.22611464968152867,0.0,0.22611464968152867,0.22611464968152867
14,0.06931818181818182,0.0,0.06931818181818182,0.06931818181818182,0.0,0.06931818181818182
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.06896551724137931,0.06896551724137931,0.0,0.06896551724137931,0.06896551724137931
18,0.05304711505633322,0.06931818181818182,0.12236529687451504,0.05304711505633322,0.06931818181818182,0.12236529687451504
19,0.0,0.42610364683301344,0.42610364683301344,0.0,0.42610364683301344,0.42610364683301344
20,0.22611464968152867,0.17932148626817448,0.4054361359497032,0.22611464968152867,0.17932148626817448,0.4054361359497032
21,0.21380424488886413,0.0,0.21380424488886413,0.2635942745205174,0.0,0.2635942745205174
22,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.6919763058696823,0.6919763058696823,0.0,0.6919763058696823,0.6919763058696823
26,0.12195121951219512,0.034482758620689655,0.1564339781328848,0.1219512195121951,0.034482758620689655,0.1564339781328848
27,0.699609141988093,0.5480548663452085,1.2476640083333015,0.740762620928569,0.5802933878949267,1.3210560088234957
28,0.605425133101188,0.22611464968152867,0.8315397827827167,0.6410383762247872,0.23941551142750095,0.8804538876522882
29,0.5273873554618982,0.46982836495031616,0.9972157204122143,0.5273873554618982,0.46982836495031616,0.9972157204122142
30,0.06931818181818182,0.0,0.06931818181818182,0.06931818181818182,0.0,0.06931818181818182
31,0.0,0.4954218286511953,0.4954218286511953,0.0,0.4954218286511953,0.4954218286511953
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655
34,0.7428571428571429,0.0,0.7428571428571429,0.7428571428571429,0.0,0.7428571428571429
35,0.05304711505633322,0.06931818181818182,0.12236529687451504,0.05304711505633322,0.06931818181818182,0.12236529687451504
36,0.0,0.0,0.0,0.0,0.0,0.0
37,0.018564356435643563,0.06931818181818182,0.08788253825382539,0.01989038189533239,0.07426948051948053,0.09415986241481292
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
40,0.034482758620689655,0.42610364683301344,0.4605864054537031,0.034482758620689655,0.42610364683301344,0.4605864054537031
41,0.0,0.0,0.0,0.0,0.0,0.0
42,0.12195121951219512,0.034482758620689655,0.1564339781328848,0.1219512195121951,0.034482758620689655,0.1564339781328848
43,0.6075002156871855,0.0,0.6075002156871855,0.6075002156871855,0.0,0.6075002156871855
44,0.0,0.06931818181818182,0.06931818181818182,0.0,0.06931818181818182,0.06931818181818182
45,0.08249129707491297,0.034482758620689655,0.11697405569560262,0.08249129707491297,0.034482758620689655,0.11697405569560262
46,0.0,0.0,0.0,0.0,0.0,0.0
47,0.2091605218377765,0.7891959844623448,0.9983565063001214,0.2091605218377765,0.7891959844623447,0.9983565063001214
48,0.35864297253634897,0.256917114683475,0.6155600872198239,0.35864297253634897,0.256917114683475,0.6155600872198239
49,0.3145795523290986,0.07759562841530054,0.39217518074439917,0.32921115941417295,0.08120472741136103,0.41041588682553404
50,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.2604086845466156,0.2604086845466156,0.0,0.2604086845466156,0.2604086845466156
54,0.06896551724137931,0.0,0.06896551724137931,0.06896551724137931,0.0,0.06896551724137931
55,0.2954328314997105,0.0,0.2954328314997105,0.3128112333526346,0.0,0.3128112333526346
56,0.06931818181818182,0.0,0.06931818181818182,0.06931818181818182,0.0,0.06931818181818182
57,0.018564356435643563,0.29524410774410775,0.31380846417975133,0.018564356435643563,0.29524410774410775,0.31380846417975133
58,0.4704162082874954,0.0,0.4704162082874954,0.47041620828749536,0.0,0.47041620828749536
59,0.15384615384615385,0.22611464968152867,0.3799608035276825,0.15384615384615385,0.22611464968152867,0.3799608035276825
60,0.8781442224404681,0.034482758620689655,0.9126269810611577,0.8781442224404681,0.034482758620689655,0.9126269810611577
61,0.2486396680863563,0.7815787182166493,1.0302183863030057,0.2486396680863563,0.7815787182166493,1.0302183863030057
